Stock,Alpha,Beta,R_Squared,P_Value,Standard_Error
WFC,-0.00018925564287805444,1.140088319970943,0.2898997983514062,4.0535008389801056e-20,0.11353398485510963
ETN,0.0008147342783957998,1.1135970771133772,0.30354267652117295,3.6107688804238675e-21,0.10732897475865878
AMZN,0.0009986082971285652,1.5370069908592308,0.3712086686791795,1.0789346373650768e-26,0.12728334625547508
QCOM,4.4246693698713445e-05,1.4836010252683236,0.3826400973195182,1.1027605759003488e-27,0.11990647018679806
LMT,-0.000352403475357958,0.3174447407382841,0.05290025853550084,0.00025194115119604184,0.08546506385274405
KO,-0.000481300593350374,0.38145081756334104,0.1378002358992022,1.488668135851491e-09,0.060711231545235035
JNJ,-0.0006820478452459598,0.34495423139773745,0.07444722699023025,1.2597416476479222e-05,0.07739079896593762
ISRG,-7.288581146847051e-05,1.2161883138610248,0.30363519521401894,3.551482632217153e-21,0.1171911189006952
XOM,-0.0005471757004164765,0.5576160975789375,0.08604613642175425,2.483412431920297e-06,0.1156333946126974
MDT,-0.00022063565220235577,0.6601286985953296,0.1627460474161375,3.661909428308953e-11,0.09526941874574182
DHR,-0.0007799338662716994,0.908506179594841,0.24014727447576037,1.9038921636107555e-16,0.10282655617689164
PLD,-0.00032260052014026173,1.2665776185916637,0.39254476717398784,1.4776173795849067e-28,0.10025265327118484
BA,0.0002916959136403912,1.026944955064154,0.24555096328074963,7.801366968454201e-17,0.11453621368890397
PG,-0.00036955318936424125,0.3832808209688802,0.11298429086565999,5.437520054955892e-08,0.06833217351780731
MRK,-0.00015199719170366874,0.25822423643615167,0.03213424400066284,0.004547314182086455,0.09017207092242059
AMD,0.0018749437566882093,1.9410764274709806,0.2930903260243585,2.311988696080903e-20,0.1918118258484804
BX,0.000767808205545756,1.8200145491393644,0.4707153853784346,5.526599008878479e-36,0.12279814923893365
PM,-0.0005819955671166552,0.5647187954143706,0.20106857223710903,1.0156130924616997e-13,0.07162529465007635
SCHW,-0.0015985866146585265,1.3399129051006005,0.1731730911175858,7.562239850163118e-12,0.18629242235832671
VZ,-0.0003336466693632946,0.47823782386608826,0.07431696169403271,1.2828521010196603e-05,0.10739464453688104
COP,-0.00024134367250157508,0.6596018998277604,0.09135559917191602,1.176366943218223e-06,0.1323618453786808
ADI,-0.00020952560978329537,1.2464080784301248,0.3886008794582896,3.302262998876971e-28,0.09947691166396617
BAC,-0.0008971667899577069,1.2005852971968374,0.34151133515299714,3.35632576847827e-24,0.10607575562717315
NOW,0.0011389425751221413,1.518095404533442,0.3970642557249051,5.84230684396992e-29,0.11902980114980104
TMO,-0.0009355973176491753,0.8959253713390526,0.2661831781372236,2.443177693219165e-18,0.09465136627424071
CVX,-0.0009293764441431587,0.5786470084508101,0.10855516467889709,1.0249143524948895e-07,0.10550844610083615
ANET,0.0017301509152645581,1.3782754345124033,0.155932942458304,1.0168499198115413e-10,0.20403612990626158
NVDA,0.003454924959882463,2.0191801423390805,0.29760294157541245,1.0405688481975294e-20,0.19737826275033246
GE,0.0018436600685406948,0.9292636281426111,0.2506849338292734,3.323399403731472e-17,0.10222534335978967
GILD,-0.0005163251911920981,0.545570284553415,0.12417714311136795,1.0839338139377224e-08,0.09219121456208419
MU,0.001073095318043973,1.3516447273641454,0.2381856200089888,2.628179481584041e-16,0.15380869660817528
CMCSA,4.8276922839075214e-05,1.0059001223468031,0.30140712921191565,5.288157311648614e-21,0.09744099246757393
DIS,-0.000875490390928136,1.102938111627888,0.2984187859300481,9.002377165274793e-21,0.10760403658173891
AXP,-2.2642354032993044e-05,1.2046400919548375,0.3654156966714685,3.374518526919035e-26,0.10100896001305387
HON,-0.0008229853747001317,0.9038613060164631,0.4160522187211643,1.0973721389799533e-30,0.06813439490161115
META,0.0027484348649906495,1.7728573122222906,0.33958498188493524,4.827710515950858e-24,0.15731116199613007
NFLX,0.0009893689678728255,1.318549507823733,0.2109288187451351,2.1410877922121926e-14,0.16226994732928557
PGR,0.0006762057620143409,0.3299191486739953,0.020856018909747788,0.022646669573093185,0.1438356762869957
LLY,0.0016503246851089976,0.4374021871105628,0.03928156355369809,0.001672389869365123,0.13763730271714358
JPM,0.00026601209428044406,0.8751762235166902,0.30410393386467616,3.2656368649165825e-21,0.08423803069058655
VRTX,0.0009041695173961866,0.6431801272192363,0.11270837758118801,5.6569192219975955e-08,0.11482573447310028
TJX,0.0001631220028946597,0.6485552135035356,0.28096707266559995,1.9272731461727866e-19,0.06601538406905721
EQIX,-7.399651115597042e-05,1.0701488607398195,0.3344512384221529,1.2655989076555132e-23,0.09605483989879561
AAPL,0.0007480247832730481,1.1036666918308478,0.5243082215544713,9.851616432688799e-42,0.06688965378582583
FI,0.00030489173726846303,0.8907541973185098,0.29722021875655613,1.1136788583131707e-20,0.08715250116776763
DE,-0.0009699441201792434,0.9461375351585317,0.20760095648433488,3.6282116876113063e-14,0.11761510260568805
SBUX,-0.0009420180610116599,0.9441610133499945,0.2980023093169076,9.693543053011976e-21,0.09220524236267112
GOOGL,0.0006280644047092479,1.3831566128982915,0.3548498661843704,2.6310059515774108e-25,0.11866727067094368
T,-0.0005088660011366574,0.4775884289411551,0.05350926591431349,0.0002315254761946809,0.12780534185829712
ABT,-0.000402928303730643,0.5858392215900755,0.14905940801366654,2.8286713292630647e-10,0.08906352747713807
BMY,-0.0015887996401062407,0.43518942197408755,0.08662537038792338,2.2892978465845877e-06,0.08991492239040126
MS,-0.0005598583664267356,1.201631734717613,0.36835979911942707,1.8927368489302315e-26,0.10012019355460547
