Portfolio,Stock,Weight,Beta,Total_Risk,Systematic_Risk,Idiosyncratic_Risk,Weighted_Systematic_Risk,Weighted_Idiosyncratic_Risk
A,WFC,0.04700430321085733,1.140088319970943,0.00030494300590818113,8.840001572980275e-05,0.00021654299017837838,4.155181143208206e-06,4.784310613476623e-07
A,ETN,0.009930486593843098,1.1135970771133772,0.0002778562506398286,8.43395955811969e-05,0.0001935166550586317,8.375332232492245e-07,1.908356056350647e-08
A,AMZN,0.015226746110559417,1.5370069908592308,0.00043284196212488166,0.0001606671296962626,0.00027217483242861906,2.446437592197312e-06,6.310476837783293e-08
A,QCOM,0.021185038066865277,1.4836010252683236,0.00039123608515593747,0.00014969579430201764,0.00024154029085391983,3.171311100737878e-06,1.0840469262198217e-07
A,LMT,0.006951340615690168,0.3174447407382841,0.00012955902655015905,6.853487453537413e-06,0.00012270553909662164,4.7640925694897607e-08,5.92927108624382e-09
A,KO,0.05428666004634227,0.38145081756334104,7.181569166170893e-05,9.895835095179242e-06,6.191985656652969e-05,5.372118356866587e-07,1.8248038443609975e-07
A,JNJ,0.023502151605428664,0.34495423139773745,0.00010871478839501343,8.092790589921279e-06,0.00010062199780509216,1.9019799135531639e-07,5.5578674199008074e-08
A,ISRG,0.006289308176100629,1.2161883138610248,0.000331315293253706,0.00010059514049769443,0.00023072015275601155,6.326738396081411e-07,9.126227315217418e-09
A,XOM,0.031115524660708375,0.5576160975789375,0.00024576669443135993,2.114686315597652e-05,0.0002246198312753834,6.579957420264128e-07,2.1747150166743946e-07
A,MDT,0.04137702747434624,0.6601286985953296,0.00018211648919553322,2.9636886506053396e-05,0.00015247960268947983,1.2262862672150526e-06,2.610539850115858e-07
A,DHR,0.014564713670969877,0.908506179594841,0.0002337600218159704,5.6134663143661926e-05,0.00017762535867230848,8.175852957037817e-07,3.7679824412340933e-08
A,PLD,0.031777557100297914,1.2665776185916637,0.0002779487610299324,0.00010910357172815905,0.00016884518930177335,3.4670449804380233e-06,1.7050208998284688e-07
A,BA,0.019860973187686197,1.026944955064154,0.0002921096772512795,7.172485533196695e-05,0.00022038482191931257,1.424525428638867e-06,8.693261249478578e-08
A,PG,0.020523005627275735,0.3832808209688802,8.843229408738935e-05,9.991013036225758e-06,7.84412810511636e-05,2.0504561676464645e-07,3.3038978103367224e-08
A,MRK,0.033763654419066536,0.25822423643615167,0.00014112671444443326,4.534917108926989e-06,0.00013659179733550627,1.5311537408492316e-07,1.557125126299077e-07
A,AMD,0.026812313803376366,1.9410764274709806,0.0008743362536884127,0.00025624808029468035,0.0006180881733937324,6.8706039403737535e-06,4.443436938491443e-07
A,BX,0.019198940748096655,1.8200145491393644,0.00047861436610940644,0.00022528126127037518,0.00025333310483903124,4.325161586786415e-06,9.337841165888225e-08
A,PM,0.027474346242965905,0.5647187954143706,0.00010787143720032062,2.168901526787183e-05,8.618242193244879e-05,5.958915151384846e-07,6.505391364417297e-08
A,SCHW,0.045018205892088714,1.3399129051006005,0.0007051123836613519,0.00012210360586786245,0.0005830087777934894,5.496885269125883e-06,1.1815482458132783e-06
A,VZ,0.08308507116848726,0.47823782386608826,0.000209314701291408,1.555475562660613e-05,0.00019375994566480186,1.292367978244998e-06,1.337549909852941e-06
A,COP,0.033101621979477,0.6596018998277604,0.00032389652012842124,2.9589603466634693e-05,0.00029430691666178655,9.794638684751638e-07,3.224772029554419e-07
A,ADI,0.015557762330354188,1.2464080784301248,0.0002718989535017426,0.00010565641235086159,0.00016624254115088098,1.6437773520326034e-06,4.0238004431551806e-08
A,BAC,0.074809665673618,1.2005852971968374,0.00028705373572270976,9.803053899747937e-05,0.00018902319672523037,7.333631848206004e-06,1.057865688929328e-06
A,NOW,0.0033101621979476996,1.518095404533442,0.00039475394148714163,0.00015673770401076955,0.00023801623747637208,5.18827222809565e-07,2.6079852757101275e-09
A,TMO,0.006289308176100629,0.8959253713390526,0.00020509482870521365,5.459074487885286e-05,0.0001505040838263608,3.4333801810599285e-07,5.9532488361362606e-09
A,CVX,0.022840119165839126,0.5786470084508101,0.00020977704562978055,2.2772083828644264e-05,0.0001870049618011363,5.201171083007131e-07,9.75550735642963e-08
A,ANET,0.029129427341939754,1.3782754345124033,0.0008285522324556223,0.00012919549812468215,0.0006993567343309402,3.7633908755286425e-06,5.934206500276286e-07
A,NVDA,0.023171135385633895,2.0191801423390805,0.0009317627266756649,0.0002772844291063353,0.0006544782975693296,6.4249950471510995e-06,3.513903895384537e-07
A,GE,0.019529956967891428,0.9292636281426111,0.000234288767930617,5.8729084029576625e-05,0.00017555968390104036,1.146976483861311e-06,6.696183755086145e-08
A,GILD,0.036742800397219465,0.545570284553415,0.00016302228429287768,2.0243088081784033e-05,0.00014277919621109365,7.43787744812323e-07,1.9275668100159577e-07
A,MU,0.037404832836809,1.3516447273641454,0.0005216702333087066,0.00012425116191928622,0.00039741907138942035,4.64759394137019e-06,5.560375750603668e-07
A,CMCSA,0.08904336312479312,1.0059001223468031,0.00022832322942453414,6.881531012219302e-05,0.00015950791930234112,6.127546647755684e-06,1.2646937123284648e-06
A,DIS,0.030122476001324065,1.102938111627888,0.0002772465122757728,8.273278369485194e-05,0.00019451372858092085,2.4921162913709125e-06,1.7649466932165622e-07
B,AXP,0.014561027837259101,1.2046400919548375,0.00027009600205781334,9.869382373693185e-05,0.00017140217832088147,1.4370835147990078e-06,3.634129518479868e-08
B,HON,0.019271948608137045,0.9038613060164631,0.0001335506035353495,5.556213675372499e-05,7.798846678162453e-05,1.0707906440760705e-06,2.8965540716457897e-08
B,META,0.007280513918629551,1.7728573122222906,0.0006295005995557767,0.00021375826480872042,0.00041574233474705633,1.5562700221619903e-06,2.2036789520223264e-08
B,NFLX,0.005139186295503212,1.318549507823733,0.0005605979620059552,0.0001182410374019493,0.00044235692460400586,6.076627189821805e-07,1.1683193034582548e-08
B,PGR,0.017987152034261242,0.3299191486739953,0.00035495793117139296,7.402704188521038e-06,0.00034755522698287194,1.331535657035904e-07,1.1244719731811987e-07
B,LLY,0.00556745182012848,0.4374021871105628,0.0003312559114863453,1.30117961275595e-05,0.0003182441153587858,7.244254803352184e-08,9.864460013230343e-09
B,JPM,0.017987152034261242,0.8751762235166902,0.0001713000223432386,5.209144085546256e-05,0.00011920858148777605,9.369766663509326e-07,3.85684629200807e-08
B,VRTX,0.010706638115631691,0.6431801272192363,0.0002496294994964102,2.8134589566996543e-05,0.00022149490992941364,3.012268690256589e-07,2.5390426606730922e-08
B,TJX,0.035974304068522485,0.6485552135035356,0.0001018140086684853,2.8606798644333392e-05,7.32072100241519e-05,1.0291096728582463e-06,9.474115135204725e-08
B,EQIX,0.004710920770877944,1.0701488607398195,0.00023289101440330986,7.788677763975999e-05,0.00015500423676354988,3.669184385598972e-07,3.4399740745089456e-09
B,AAPL,0.017987152034261242,1.1036666918308478,0.00015800627078534898,8.284212324306757e-05,7.516414754228141e-05,1.4900938656140633e-06,2.43184307809352e-08
B,FI,0.020985010706638114,0.8907541973185098,0.00018155872081865478,5.396238105558955e-05,0.00012759633976306523,1.1324011442072324e-06,5.618968618703733e-08
B,DE,0.010278372591006424,0.9461375351585317,0.0002932713757618832,6.088129669148e-05,0.0002323900790704032,6.25760651218638e-07,2.455083668494096e-08
B,SBUX,0.047109207708779445,0.9441610133499945,0.000203455934406523,6.062719511414692e-05,0.00014282873929237608,2.8560991274330456e-06,3.169766004590329e-07
B,GOOGL,0.022698072805139188,1.3831566128982915,0.0003666860259517703,0.0001301122132344484,0.00023657381271732192,2.9532964888333044e-06,1.2188342189160522e-07
B,T,0.19100642398286938,0.4775884289411551,0.0002899192463289465,1.5512540976457014e-05,0.0002744067053524895,2.962994978800783e-06,1.0011304412766495e-05
B,ABT,0.038115631691648826,0.5858392215900755,0.00015659918057835343,2.3341686812889407e-05,0.00013325749376546402,8.896831376219089e-07,1.9359667073832072e-07
B,BMY,0.07665952890792291,0.43518942197408755,0.0001487011156075694,1.2880478900889865e-05,0.00013582063670667952,9.874114446506578e-07,7.981748773608422e-07
B,MS,0.03468950749464668,1.201631734717613,0.00026660225064058197,9.820150151108452e-05,0.00016840074912949745,3.4065617226543236e-06,2.026470505231594e-07
B,CRM,0.013276231263383297,1.2215875463033317,0.0003478108874359063,0.00010149030148438328,0.000246320585951523,1.3474087134971655e-06,4.3416051813601526e-08
B,PFE,0.16274089935760172,0.4574810695462587,0.00021020019051619146,1.4233824442482476e-05,0.00019596636607370897,2.316425391067812e-06,5.1900908823541905e-06
B,SPGI,0.008993576017130621,1.2347657529701488,0.000192419589445194,0.00010369182077572109,8.872776866947291e-05,9.325602725011319e-07,7.176693181817984e-09
B,BRK-B,0.009850107066381156,0.7171278625568298,7.412690131439401e-05,3.4975871314749426e-05,3.9151029999644585e-05,3.445160771902513e-07,3.798613386243595e-09
B,ADBE,0.010278372591006424,1.6603144713870484,0.00040242423510529577,0.00018748047965742076,0.000214943755447875,1.9269942234595707e-06,2.270772081819367e-08
B,ACN,0.012419700214132762,1.0817675706776309,0.0001892087502040785,7.958720725749783e-05,0.00010962154294658067,9.884492550181743e-07,1.6909008270582073e-08
B,AMGN,0.01670235546038544,0.5287076493446232,0.00017112268370529066,1.90110689564707e-05,0.00015211161474881996,3.175296313928725e-07,4.2434376063525475e-08
B,LIN,0.010706638115631691,0.7717387205515314,0.0001548542602385345,4.050568032458639e-05,0.00011434857991394812,4.336796608628093e-07,1.3108017817719841e-08
B,V,0.014132762312633832,0.7633908867723408,9.636190031790697e-05,3.963412654591179e-05,5.672777377199518e-05,5.601396899422223e-07,1.1330520225724864e-08
B,WMT,0.04796573875802998,0.39576149173420094,9.689566798088983e-05,1.0652276188027437e-05,8.624339179286239e-05,5.109442968133075e-07,1.9842121457747356e-07
B,AMAT,0.02569593147751606,1.6069632531466527,0.00045589302459035614,0.00017562536545339883,0.0002802676591369573,4.512857356404253e-06,1.850553806735867e-07
B,CAT,0.011991434689507495,1.1096240022733053,0.0003260809939271594,8.373885807569687e-05,0.00024234213585146253,1.0041490475886563e-06,3.484746768659522e-08
B,RTX,0.037687366167023555,0.5382770746120361,0.00022593202784017456,1.9705484456705938e-05,0.00020622654338346862,7.426478082184679e-07,2.929113072115661e-07
