Portfolio,Stock,Weight
A,WFC,0.019105686261816218
A,ETN,0.03820968156268776
A,AMZN,0.0916510187307091
A,QCOM,0.012727187240569563
A,LMT,0.028523267100476944
A,KO,0.055160359240919596
A,JNJ,0.027466061169046953
A,ISRG,0.04249539198285044
A,DHR,0.019016672123922607
A,PLD,0.03193475694586543
A,BA,0.016557841177158094
A,PG,0.07551267147270758
A,MRK,0.04284505593542351
A,AMD,0.010796779615116832
A,BX,0.04316878244321423
A,PM,0.041828814536499365
A,VZ,0.013753622038174306
A,COP,0.030296012692512475
A,ADI,0.05214522043668977
A,BAC,0.028948510951280086
A,NOW,0.04860844018346148
A,TMO,0.013462650012825043
A,CVX,0.03091212070529549
A,ANET,0.008356788594617373
A,NVDA,0.051234702278201115
A,GE,0.013590350588250815
A,GILD,0.025976405569695424
A,CMCSA,0.06419196765590793
A,DIS,0.021523180754104483
B,AXP,0.023118336802129807
B,HON,0.053475217857167294
B,META,0.03248336243004062
B,NFLX,0.016175032381718368
B,LLY,0.021039143227044945
B,JPM,0.020265131203473737
B,VRTX,0.015510772299172576
B,TJX,0.05247542982697183
B,EQIX,0.03639404289763496
B,AAPL,0.11774862558155216
B,FI,0.0278194362618961
B,DE,0.03193393564600977
B,SBUX,0.02468219464126884
B,GOOGL,0.05557277669101063
B,T,0.020335327641564354
B,ABT,0.024103851538748517
B,BMY,0.01665110038180111
B,MS,0.06257960597918916
B,CRM,0.023348287753663072
B,PFE,0.014101049018235808
B,SPGI,0.017690399941181108
B,BRK-B,0.04117391538759405
B,ADBE,0.04348622804773309
B,ACN,0.027782068623230145
B,AMGN,0.009846610995285126
B,LIN,0.017216143951002603
B,V,0.00996196442970745
B,WMT,0.04537937434955526
B,AMAT,0.04975412174458583
B,CAT,0.010234155338244256
B,RTX,0.008422220478725293
B,UNP,0.02924013665286213
C,IBM,0.013188764374860266
C,TXN,0.06917933741651537
C,ADP,0.031311316312758075
C,GOOG,0.0672078227664036
C,ORCL,0.013191692413417607
C,BSX,0.014891116551849335
C,UNH,0.0333684544646194
C,TMUS,0.015417865961156728
C,SYK,0.03066676679262077
C,GS,0.02974337682575627
C,UBER,0.011956843639757757
C,AVGO,0.030773931833337684
C,MMC,0.05874921887196368
C,CSCO,0.028273681837473908
C,PLTR,0.006102388524332089
C,MA,0.03740312447860509
C,C,0.054683351455604955
C,BKNG,0.013323947153805672
C,MCD,0.06299826522798002
C,LOW,0.03382243718539757
C,HD,0.03249166779152696
C,LRCX,0.0018288362978737013
C,KKR,0.035877685647334644
C,COST,0.011675786416763949
C,NEE,0.016677438467059765
C,ABBV,0.007717004635305514
C,TSLA,0.03162046946848657
C,MSFT,0.11048026760972342
C,PEP,0.006532624280876489
C,CB,0.051904812681230525
C,PANW,0.005653839660797143
C,BLK,0.031285862954805295
